num_expediente,fecha,hora,localizacion,cod_distrito,distrito,tipo_accidente,estado_meteorológico,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga,peaton_involucrado,vehiculos_involucrados,lesividad,nivel_lesividad
2025S088718,2025-08-02,17:15:00,AVDA. ANGEL SANZ BRIZ / METRO. CARPETANA,10,LATINA,Colisión fronto-lateral,,437676,4472287,false,false,false,"Todo terreno, Turismo",Sin asistencia sanitaria,1
2025S088719,2025-08-02,14:42:00,CALL. POTES,17,VILLAVERDE,Colisión fronto-lateral,,439556,4466798,false,false,false,Turismo,Desconocido,5
2025S088751,2025-08-02,19:58:00,CALL. ARAGON / CALL. VINAROZ,5,CHAMARTÍN,Colisión múltiple,Despejado,442558,4477673,false,false,false,Turismo,Desconocido,5
2025S088752,2025-08-02,18:55:00,CALL. LEONCIO BAUTISTA,11,CARABANCHEL,Colisión fronto-lateral,Despejado,437869,4472101,false,false,false,Turismo,Sin asistencia sanitaria,1
2025S088753,2025-08-02,16:35:00,GTA. MARQUES DE VADILLO,11,CARABANCHEL,Alcance,Despejado,439199,4472114,false,false,false,Turismo,Desconocido,5
2025S088764,2025-08-02,21:07:00,CALL. JOAQUIN MARIA LOPEZ,7,CHAMBERÍ,Caída,Despejado,439350,4476585,false,false,true,Ciclomotor,Sin asistencia sanitaria,1
2025S088783,2025-08-02,21:45:00,PASEO. FEDERICO GARCIA LORCA,18,VILLA DE VALLECAS,Choque contra obstáculo fijo,Despejado,447284,4470080,false,false,false,Bicicleta EPAC (pedaleo asistido),Asistencia sanitaria sólo en el lugar del accidente,3
2025S088784,2025-08-02,21:20:00,CALL. ATENAS / CALL. BRUJAS,14,MORATALAZ,Colisión múltiple,Despejado,446887,4472753,true,false,false,Turismo,Desconocido,5
2025S088816,2025-08-02,22:05:00,AVDA. MENENDEZ PELAYO / PLAZA. MARIANO DE CAVIA,3,RETIRO,Alcance,Despejado,442353,4473121,false,false,false,"Bicicleta, Turismo",Asistencia sanitaria sólo en el lugar del accidente,1
2025S088829,2025-08-02,23:25:00,CALL. SAN CESAREO / CALL. SAN EUSTAQUIO,17,VILLAVERDE,Colisión fronto-lateral,Despejado,440435,4465460,false,false,false,Turismo,Desconocido,5
2025S089024,2025-08-02,14:00:00,CALL. DUQUE DE SESTO / CALL. DOCTOR ESQUERDO,4,SALAMANCA,Colisión fronto-lateral,Despejado,443239,4474828,false,false,false,"Motocicleta hasta 125cc, Turismo",Sin asistencia sanitaria,1
2025S089025,2025-08-02,14:00:00,CALL. SAN ZACARIAS,12,USERA,Colisión fronto-lateral,Despejado,440534,4471283,false,false,false,Turismo,Sin asistencia sanitaria,1
2025S089048,2025-08-02,21:10:00,CALL. FUENTESPINA,18,VILLA DE VALLECAS,Colisión fronto-lateral,Despejado,448599,4470050,false,false,false,Turismo,Desconocido,5
2025S088765,2025-08-03,00:20:00,AVDA. EURO,11,CARABANCHEL,Alcance,Despejado,437304,4469418,false,false,false,Turismo,Sin asistencia sanitaria,1
2025S088836,2025-08-03,00:40:00,CALL. RIO SAN LORENZO,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,444762,4471028,true,false,false,Turismo,Desconocido,5
2025S088872,2025-08-03,01:08:00,CALL. O'DONNELL,4,SALAMANCA,Alcance,Despejado,442217,4474757,false,false,false,Turismo,Sin asistencia sanitaria,1
2025S088881,2025-08-03,01:35:00,PASEO. MORET,9,MONCLOA-ARAVACA,Colisión fronto-lateral,,438945,4476270,false,false,false,Turismo,Desconocido,5
2025S088891,2025-08-03,00:55:00,CALL. BRAVO MURILLO,7,CHAMBERÍ,Caída,Despejado,440292,4477225,false,false,false,VMU eléctrico,Asistencia sanitaria ambulatoria con posterioridad,4
2025S088918,2025-08-03,01:35:00,PASEO. CASTELLANA / CALL. RAIMUNDO FERNANDEZ VILLAVERDE,6,TETUÁN,Solo salida de la vía,,441331,4477524,true,false,false,Turismo,Desconocido,5
